time,flexion_tronco,flexion_brazo,flexion_muneca,Puntos_Brazo,Puntos_Muneca,Puntos_Tronco,RULA_Final
3.1,-0.12765134777282583,-0.4137765489772107,1.1389989764097663,1,1,1,4
3.1167,-0.12556209344100466,-0.4131178588706348,1.1284158832216349,1,1,1,4
3.1333,-0.12060428671890122,-0.41061688735129565,1.10785956368602,1,1,1,4
3.15,-0.11523560420263834,-0.4157183838839842,1.0711191703379654,1,1,1,4
3.1667,-0.11080987607334691,-0.42753555379283625,1.0379041186468498,1,1,1,4
3.1833,-0.11094992418711058,-0.43748373965814835,1.0160969141709586,1,1,1,4
3.2,-0.11264054621130981,-0.44764956472113226,1.0077553790775369,1,1,1,4
3.2167,-0.11363630339209863,-0.456739862419937,1.014666208156001,1,1,1,4
3.2333,-0.11407512427061306,-0.4627704447775045,1.039669565490101,1,1,1,4
3.25,-0.1136181284343536,-0.46607327352643324,1.0698311861703473,1,1,1,4
3.2667,-0.11005370760733513,-0.4617900002309341,1.095767290730322,1,1,1,4
3.2833,-0.10793808115971615,-0.4546568510218094,1.1131139350995625,1,1,1,4
3.3,-0.10841623318387406,-0.4529591351943907,1.1154265516951227,1,1,1,4
3.3167,-0.10978060254032584,-0.45510976858079744,1.1106722321243865,1,1,1,4
3.3333,-0.11044993061975106,-0.45925020167959474,1.101283180462218,1,1,1,4
3.35,-0.1099457255637617,-0.4613939952342889,1.086298024289789,1,1,1,4
3.3667,-0.10505023860903862,-0.46615758767578086,1.064601714406308,1,1,1,4
3.3833,-0.10775216159433398,-0.46509648168262174,1.0463861982050275,1,1,1,4
3.4,-0.11486283075470283,-0.4592627398832292,1.0330366532330402,1,1,1,4
3.4167,-0.12305039027543785,-0.4549217187797865,1.0332308145145817,1,1,1,4
3.4333,-0.13045974121808968,-0.4520751470099924,1.0473126829289185,1,1,1,4
3.45,-0.13691037648266047,-0.4520709058804755,1.0697947926782945,1,1,1,4
3.4667,-0.1402478026583367,-0.452217211644097,1.0958751220831005,1,1,1,4
3.4833,-0.13752688150040626,-0.4562054415577279,1.1169751142075484,1,1,1,4
3.5,-0.12980226468408773,-0.4587184904779633,1.1316682632601953,1,1,1,4
3.5167,-0.12216768074711126,-0.466077145103327,1.1322451456480565,1,1,1,4
3.5333,-0.11588958584320608,-0.46867507554563304,1.1336813027830885,1,1,1,4
3.55,-0.11929117829038205,-0.46401155015593076,1.1299076194617328,1,1,1,4
3.5667,-0.12207924786207514,-0.460012147510497,1.1200004067954978,1,1,1,4
3.5833,-0.12092050740213267,-0.46196292646428105,1.1038253202021338,1,1,1,4
3.6,-0.11747191296643678,-0.46564110169973105,1.083662446003217,1,1,1,4
3.6167,-0.1112514517395482,-0.471406452176069,1.0672793005849144,1,1,1,4
3.6333,-0.11578177689827385,-0.4687925197517302,1.0567032529143319,1,1,1,4
3.65,-0.12633823894654483,-0.46486738184972864,1.0548678600393941,1,1,1,4
3.6667,-0.14099729184709986,-0.4567649442067534,1.0698480350309865,1,1,1,4
3.6833,-0.14128882166346557,-0.46027439277654025,1.0891737614957435,1,1,1,4
3.7,-0.14770993341352323,-0.4549437414076465,1.108108789042575,1,1,1,4
3.7167,-0.15087943243494806,-0.457581061331382,1.1211056430488497,1,1,1,4
3.7333,-0.15660711548025574,-0.4649170488211496,1.1264216401557974,1,1,1,4
3.75,-0.15648524044235046,-0.47976641726222624,1.1263313590273754,1,1,1,4
3.7667,-0.17016982457406016,-0.47961453655094033,1.1163581414545831,1,1,1,4
3.7833,-0.17585733872530795,-0.4712648263180199,1.0968754007294024,1,1,1,4
3.8,-0.16860301217681695,-0.4651179669530734,1.0682764491340322,1,1,1,4
3.8167,-0.16422396872872014,-0.4573003016326993,1.0388835500720006,1,1,1,4
3.8333,-0.1540200123558293,-0.46277854053033707,1.0162844203655652,1,1,1,4
3.85,-0.14502469029210374,-0.4677943949035921,1.0128285993613986,1,1,1,4
3.8667,-0.13832457234528306,-0.4751585642754037,1.0303728569052737,1,1,1,4
3.8833,-0.1350054825759912,-0.47788438067047423,1.0684354252277615,1,1,1,4
3.9,-0.12626083924942577,-0.4878381348696621,1.1141442859223787,1,1,1,4
3.9167,-0.12287360300186378,-0.4931606159461239,1.151487792367675,1,1,1,4
3.9333,-0.12055801391460363,-0.4898213257776547,1.1734762558464524,1,1,1,4
3.95,-0.11838575220403413,-0.48743995341575896,1.175848403816076,1,1,1,4
3.9667,-0.11411275489163586,-0.48549115560646783,1.1590220952262769,1,1,1,4
3.9833,-0.10615494119335267,-0.4809260884510991,1.1297595803301874,1,1,1,4
4.0,-0.09709932941274246,-0.4769936364227192,1.1029121196508527,1,1,1,4
4.0167,-0.0913426053239732,-0.47143905245667383,1.0875956576660428,1,1,1,4
4.0333,-0.0933919549900395,-0.4686190479610559,1.083935462802259,1,1,1,4
4.05,-0.09579749144475613,-0.4736056198305789,1.0936224785565685,1,1,1,4
4.0667,-0.09399186784850144,-0.4888002657672246,1.1098016747735642,1,1,1,4
4.0833,-0.0974303604087936,-0.5042113473049596,1.1237288726019585,1,1,1,4
4.1,-0.09795114257414639,-0.5232247637139835,1.1322581597696342,1,1,1,4
4.1167,-0.09280735711476495,-0.5449609232646822,1.1367846577950331,1,1,1,4
4.1333,-0.08782964839542728,-0.557374198196527,1.137985785904931,1,1,1,4
4.15,-0.0941952270380284,-0.5535298163115954,1.146131411628943,1,1,1,4
4.1667,-0.09322420580062385,-0.5435218124778203,1.1538148680321285,1,1,1,4
4.1833,-0.08595452557221961,-0.5373196170199321,1.1605019715449885,1,1,1,4
4.2,-0.07845929743118063,-0.5291730322647652,1.1626740154949857,1,1,1,4
4.2167,-0.06820438805007711,-0.531253572048314,1.155607373501823,1,1,1,4
4.2333,-0.05324835308584852,-0.5386475513679443,1.1465427582829761,1,1,1,4
4.25,-0.03573172591649154,-0.544789132447022,1.1385674084072832,1,1,1,4
4.2667,-0.024844261980405236,-0.5439566790231538,1.12933093678663,1,1,1,4
